snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	estimated-cost-savings-of-recommended-actions	sell-through	item-volume	volume-units	storage-type
2020-09-21	TEK-NY-8165	X001JIYCBL	B074VYY6P8	YaeCCC Pro II Motorized Electric Track Slider Dolly Car 3-Wheel Video Pulley Rolling Skater Compatible for DSLR Camera	New	3	0	1	0	0	0	2	USD	0	0.0	2	0.84	1	1	3	5	Low traffic	69.99	69.99	69.99	0.0	Lower price	3	69.99	0	0	0.0	0.9090909090909091	0.180714	cubic feet	Standard
2020-09-21	JK-0622	X002FGLTHB	B083HSTR1R	YaeCCC Durable Fall Protection Restraint Lanyard, Outdoor Climbing Harness Belt Lanyard Fall Protection Rope with 2 Large Snap Hooks Carabineer	New	58	0	58	0	0	0	0	USD	0	0.0	0	0.0	0	2	2	2	Low traffic	22.99	22.99	22.99	0.0	Lower price	28	22.99	0	0	0.0	0.08695652173913043	20.304292	cubic feet	Standard
2020-09-21	JK-0631	X002ICTBF9	B087CHH68H	YaeCCC Left Taillight Back Rear Lights for TOYOTA HILUX VIGO/MK6 MK7/SR5 2011-2014	New	10	0	0	10	0	0	0	USD	0	0.0	0	0.0	0	4	6	10	Low traffic	19.99	19.99	19.99	0.0	Lower price	10	19.99	0	0	0.0	0.6666666666666666	3.643930	cubic feet	Standard
2020-09-21	TEK-NY-8136	X001GOY4XT	B073H14G42	SUNKKO 709AD+ Pulse Spot Welder for Battery Pack with Intelligent Welding Function High Power Battery Spot Welder & Soldering Station	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	0	0	1	1	Low traffic	299.99	299.99	299.99	0.0	Lower price	0	0.0	0	0	0.0	0.4	4.076130	cubic feet	Standard
2020-09-21	JK-0635	X002HNZJEB	B085VQLPLX	YaeCCC Digital Heat-Gathering Magnetic Stirrer Mixer Thermostatic Hotplate 2000ml 0~2600rpm (110V 60W)	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	1	2	10	12	Low traffic	89.99	89.99	89.99	0.0	Lower price	2	89.99	0	0	0.0	1.6551724137931034	1.219803	cubic feet	Oversize
2020-09-21	WI-0062	X001QZF5EP	B07C3MPLJ6	Cat6 12 Port RJ45 Patch Panel UTP LAN Network Adapter Cable Connector Wall Mount Surface Patch Panel	New	120	0	103	17	0	0	0	USD	0	0.0	0	0.0	8	30	64	83	Low traffic	14.99	14.99	14.99	0.0	Lower price	125	14.99	0	0	0.0	0.7345132743362832	5.891520	cubic feet	Standard
2020-09-21	JJ-0368	X001ZIBXWL	B07LFWY4F7	2pcs 4x6 inch 90W LED Light Bulbs Crystal Clear Headlights Rectangular Replacement Sealed Beam Headlamps	New	40	0	40	0	0	0	0	USD	0	0.0	0	0.0	0	36	49	50		30.99	30.99	30.99	0.0	Improve recommendations	0	0.0	0	0	0.0	2.4691358024691357	5.250000	cubic feet	Standard
2020-09-21	AB-0764	X0025M5BQ5	B07RL267VV	3KV Neon Power Supply for Glass Neon Sign Light Electronic Neon Signs Lights Transformer 100-240V Input Plug	New	14	0	0	14	0	0	0	USD	0	0.0	0	0.0	1	17	40	63	Low traffic	15.99	15.99	15.99	0.0	Lower price	17	15.99	0	0	0.0	1.3333333333333333	0.383712	cubic feet	Standard
2020-09-21	AB-0825	X002AMEW4H	B07WS53Z7C	YaeCCC Reflex Photoelectric Switch Sensor Optical Sensor with Reflector Panel NPN NO Distance 2m Transducer DC 10-30V 200mA	New	32	0	32	0	0	0	0	USD	0	0.0	0	0.0	0	4	9	9	Low traffic	12.99	12.99	12.99	0.0	Lower price	32	12.99	0	0	0.0	0.5142857142857142	0.588608	cubic feet	Standard
2020-09-21	AB-0918	X002FGLP61	B083HS5RGN	YaeCCC Plastic Junction Box Universal Electric Project Enclosure Pale DIY Case Enclosure Waterproof Dustproof IP65 ABS (Gray) (9.4" x 6.3" x 3.5")	New	44	0	44	0	0	0	0	USD	0	0.0	0	0.0	5	16	17	18		13.99	13.99	13.99	0.0	Create Sale	2	10.3526	364	0	2342.9624742110896	0.6545454545454545	19.260164	cubic feet	Standard
